"id","name","code","close_method","note","report_type"
"megis-oe.user_type_equity","Eigen Vermogen","equity","Balance",,"Balance Sheet (Liability account)"
"megis-oe.user_type_tax","BTW","tax","Balance",,"Balance Sheet (Liability account)"
